Company ID,Companies,First Financing Date,Last Known Valuation Date,Last Known Valuation,First Financing Valuation,First Financing Size,Emerging Spaces,Primary Industry Code,Unicorn Status
140239-63,Mosyle,2015.0,2022.33698630137,662.5,2.1,1.0,0,Business/Productivity Software,0
52982-56,Movable Ink,2011.545205479452,2022.295890410959,1400.0,3.8,1.3,0,Media and Information Services (B2B),1
164396-62,Moxie (Other Hardware),2017.4136986301369,2022.9123287671232,144.25,12.79,3.79,Medical Robotics,Other Hardware,0
178717-33,Mudflap,2016.9342465753425,2022.4712328767123,710.0,1.71,0.12,0,Financial Software,0
234614-80,MUSH (Food Products),2017.9013698630138,2022.6876712328767,93.0,3.0,0.3,0,Food Products,0
435640-60,Must Love,2016.0,2022.035616438356,8.0,8.0,1.8,0,Food Products,0
61568-20,MycoTechnology,2015.5753424657535,2022.1616438356164,548.0,24.21,9.21,0,Food Products,0
102748-33,MyWallSt,2013.9150684931508,2022.3780821917808,23.23,3.59,0.52,0,Financial Software,0
64126-90,N26,2014.3287671232877,2023.295890410959,3000.0,6.24,2.59,0,International Banks,1
119510-83,Nalu,2015.5150684931507,2022.123287671233,227.6,26.92,11.92,0,Therapeutic Devices,0
102286-54,NameCoach,2015.495890410959,2022.876712328767,46.7,4.0,1.0,0,Media and Information Services (B2B),0
61948-54,NanoGraf Technologies,2013.2931506849316,2023.0684931506848,108.32,2.91,0.91,0,Electrical Equipment,0
60711-76,Nanotronics,2011.1150684931506,2022.3616438356164,705.82,9.0,0.5,0,Electrical Equipment,0
171613-36,Narmi,2017.2602739726028,2022.3780821917808,300.0,2.0,0.12,0,Financial Software,0
174304-90,Narrative,2017.7890410958903,2022.531506849315,42.28,7.52,2.52,0,Business/Productivity Software,0
97489-54,Natel Energy,2009.4575342465753,2023.3150684931506,83.0,1.18,0.38,0,Alternative Energy Equipment,0
60156-28,Natrox,2005.2657534246575,2022.9561643835616,72.23,0.77,0.19,0,Therapeutic Devices,0
112950-64,Navan,2015.345205479452,2022.7780821917809,9200.0,14.5,4.5,0,Business/Productivity Software,1
55597-42,NCTech,2012.1616438356164,2022.509589041096,19.8,3.16,1.26,0,Electrical Equipment,0
166231-72,Neurofenix,2016.454794520548,2022.5671232876712,17.45,0.18,0.03,0,Therapeutic Devices,0
99189-55,Neurolens,2014.841095890411,2022.6657534246576,202.64,5.0,1.0,0,Diagnostic Equipment,0
123924-52,New York Shipping Exchange,2015.690410958904,2022.7013698630137,167.0,2.51,0.51,0,Business/Productivity Software,0
185987-80,Newfront,2017.558904109589,2022.2767123287672,2200.0,44.0,9.0,0,Insurance Brokers,1
